ID,Total Rewards On Testnet,Total Mined Blocks,Sqrt Mined Blocks,Cumulative Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzmssQyhfreQ7t41spcPP2vv1XBUsC1A4915ogJW4bXfCvx4D,877676606141581253,"89,778",300,"89,778",299.63,2.62%,65.39,2500,"11,456.25"
qzjfAe19wbQStkPuCZxiST4dy5ghtXBNgyNiBRu7N9RdEpZuA,736282492892638973,"75,806",275,"165,584",574.96,2.40%,60.08,,
qzngDmhUrTbdCUUMyzoWFTVer4dVEqxEGJbMwDzgq1vtFDnYu,466488432074306629,"47,456",218,"213,040",792.80,1.90%,47.54,,
qzkVESSdXeQ8Jb6wYC7CtCj5hQqPqzFgUjgvDjc9E1gQ7LHoK,395933986280903282,"41,450",204,"254,490",996.40,1.78%,44.43,,
qzpsKarxVcw79pH1zKpRHeX2tiBZdqpJxbFBiDuo3ocRvd5MT,390535114418194789,"40,121",200,"294,611","1,196.70",1.75%,43.71,,
qzpdQxGyLBtNC4hYE4XzH96KAqyfBBEbSAMGvLAZta4KMWNqx,376833756387786351,"38,785",197,"333,396","1,393.64",1.72%,42.98,,
qzqAn1M81bJ4BThz2BfRRhNhX82hhBnYbs65wAnh6re9kyo33,303970828211702981,"31,392",177,"364,788","1,570.81",1.55%,38.66,,
qzkUpykcRNm4R5T4jQELTP7WDNkMJ557yHKYgpLqobdbBETcp,273594426168281683,"27,954",167,"392,742","1,738.01",1.46%,36.49,,
qzk4ECfeSFbQfJ9zNsAweryn46TttfkMwDmDEw97w4cJoTGzu,220559029126989393,"22,887",151,"415,629","1,889.29",1.32%,33.01,,
qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,218863497175014825,"22,265",149,"437,894","2,038.51",1.30%,32.56,,
qzjykZBSbNb6JUE4gSamRXbPReSSJi2Jc6Y8M51ALJLBs8odt,217243145103436307,"22,146",149,"460,040","2,187.32",1.30%,32.47,,
qzjabKoiGqb2EQKgjadKdcPXeXER7ad3C41ChdWP5YkMiYPBP,210286642956426625,"21,635",147,"481,675","2,334.41",1.28%,32.10,,
qzoa1vPquWNDpZckmSu8b3rp2S7KNbMrtMJ7NWkucfV48vTcF,200162848660982469,"20,389",143,"502,064","2,477.20",1.25%,31.16,,
qzod6rwhRxPVjueF2EZ46iKAWMHdgYLeATdgSPtKG8bJ3i7tr,188578629886128238,"19,624",140,"521,688","2,617.29",1.22%,30.57,,
qzkMLLy5HaHcUfCHfdEoeiFEAieP2RfKQLcjiTnwCTuiP3kFg,186821271690995597,"19,440",139,"541,128","2,756.72",1.22%,30.43,,
qzoAcbQXeGT4LZXdZPcT8qkBJGU8jkDWFiMrodvcUzPDEbumz,151233653228587877,"16,182",127,"557,310","2,883.92",1.11%,27.76,,
qznvwUzPoZ72bDwaoQyYbabME6dZCQSz1WoY6DtcY7NYv6MQH,146135247753870005,"15,093",123,"572,403","3,006.78",1.07%,26.81,,
qzq2NpQ4YEM8UedKmT6grZFJCwBtcfZWfnNNACZRtLr5oFn9J,130515947449848489,"13,642",117,"586,045","3,123.58",1.02%,25.49,,
