Address,Total Rewards,Blocks mined,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzpJKjDzv9DDbB3fzWJJg3XpMJLaJRT2aUBRHJV3iKb9KAse1,,"107,650","107,650",328.10,328.10,4.10%,102.53,2500,"8,000.13"
qzjVZ8E957sD3cp8XS8Cf3bD4qLZPjYsdm6NSm5ZbA2o5BDZj,,"102,505","210,155",320.16,648.26,4.00%,100.05,,
qzksv17vRTvSs3jTC2UsPPQ4LbiTRaHM3Y4ALT5AHd7azyZkh,,"41,550","251,705",203.84,852.10,2.55%,63.70,,
qzjtwGuPGLy1C8mkpc7hp4ZyiK3WxaPJ5yg2dZtUnGprqZ84r,,"38,457","290,162",196.10,"1,048.21",2.45%,61.28,,
qzoqy3pcLsBcPpGFqj9BTv3UyvRB9o8ScnKqcQfSbQTR6odnu,,"37,339","327,501",193.23,"1,241.44",2.42%,60.38,,
qzpciM4tLqLHhiRczjKd2kSwSWAncCYkuU6PdDyjZE37cbyMv,,"34,140","361,641",184.77,"1,426.21",2.31%,57.74,,
qznaZcifLXCN9M6cWeJ91XsGQ7NCbkiZCwaLouUSP5YMiMzyQ,,"26,614","388,255",163.14,"1,589.35",2.04%,50.98,,
qzjYMpbcejXW1d26G8MGVo9hAVWhc29EgwK8rQhZvQQUfvKcE,,"25,477","413,732",159.62,"1,748.96",2.00%,49.88,,
qznZttca6MzPdsEaSC289BjqpxZzs4tpa7TWQ9xzzMZBNWc3W,,"21,820","435,552",147.72,"1,896.68",1.85%,46.16,,
qzq3yzbR7iXgkAEWdANe7WkvCvHqZVsmTJVQ9qkWax28wKQ1d,,"21,033","456,585",145.03,"2,041.71",1.81%,45.32,,
qzneChhG2NKkVycgweCDuBvksh4mvwNn58ySTcD6GYBHW5yLZ,,"20,984","477,569",144.86,"2,186.57",1.81%,45.27,,
qzqDMhonEncjXczzbaxXYTsFkh2MMDVSpCQXamVvK7EE6NSpY,,"19,992","497,561",141.39,"2,327.96",1.77%,44.18,,
qzkJ4DehqdMcBFHqVWPsZ7o6DpW5vJWNmsSs123vc9zCgjTod,,"18,705","516,266",136.77,"2,464.73",1.71%,42.74,,
qzozjfZd8vfVFdoKbtmezfMWV21ngt2Qc429Df1uT8u5CMeWZ,,"17,123","533,389",130.85,"2,595.58",1.64%,40.89,,
