ID,Total Rewards ON Testnet,Total Mined Blocks,Cumulative Mined,Sqrt Mined Blocks,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzmu2UxAm4JH9CjMLx3yVnPJGrwbq6iJmKq6ZominTXjmSDEN,535020324406211696,"53,704.00","53,704",232,232,7.56%,188.94,2500,"3,066"
qzmc7PZeKBhFPF2eUfcGgSqSLafPCjVXW8qTjMpNu7gQB3iTj,318700028523679757,"31,889.00","85,593",179,410,5.82%,145.60,,
qzoJT7eJRBG44EWRuL8MsZGvXKALkzykkfy7AmYYPbGWWNpe6,276480016513807334,"27,659.00","113,252",166,577,5.42%,135.60,,
qznBscoqfgchvYUUYCY6o8f8HsJWNvU9SC3DKMvoLu438Hrmu,273260016362702351,"27,337.00","140,589",165,742,5.39%,134.81,,
qznrsyqc3HEkGy93HxZttNbBtia1nd9UDy5D8HrgfTTqRRnHv,261450088392576320,"26,204.00","166,793",162,904,5.28%,131.98,,
qzq13T533TiW4esoLg7ZRrsiVeGS9k8pKHERiJTAAuj4uJdvJ,232220164950415339,"23,319.00","190,112",153,"1,057",4.98%,124.50,,
qzmre1UiD9iAzP1fHZq3DyXprfDupoVNFDAJRF6edPDmwjEbR,156040437168817719,"15,792.00","205,904",126,"1,182",4.10%,102.46,,
qzoRp2XbwmtP6cb1khkd8gSzp88XLWQnwUHcghX8PtRALSB5U,150220204958806576,"15,159.00","221,063",123,"1,305",4.02%,100.38,,
qzo84V7Ssq7Z3GS1oLVwQ59cByk6bCGvK15EjWrt85AMNqYNt,118320056585049819,"11,863.00","232,926",109,"1,414",3.55%,88.80,,
qzoye6zPEeJz8mxCar3Q1oiN2xpjFf47jvCVoMjjzuFTw9Dsp,102850177224240185,"10,404.00","243,330",102,"1,516",3.33%,83.16,,
qzoQf4od1mzuTa5AT9R8cbEUxQkyEiqGJyKfq8ZWcK9fTLCmh,92970207760354631,"9,408.00","252,738",97,"1,613",3.16%,79.08,,
qznhpVShWsRqhp4g4KVnD82AGdwQo5EVZp9fqdmUAJBLSyCeW,83861031865799530,"8,412.00","261,150",92,"1,705",2.99%,74.78,,
qzn6C9EKUpuNPm5qbe5jSq7uiCHV7ruixuzNM4DQQQGZxe2du,79460614984327815,"8,035.00","269,185",90,"1,795",2.92%,73.08,,
qzprTjCZMGh9P76yJBKWFv5QeAdJ1buqmMtsmCS3uTXpoopWS,62420183781914608,"6,312.00","275,497",79,"1,874",2.59%,64.78,,
qzo8VqpTojHapSvjwdLqze3GebmfAGS4Nq6rTnRsjR2S8u9mA,62130144250658395,"6,296.00","281,793",79,"1,953",2.59%,64.69,,
qzmNCqKCCLk51kY5dHkuMHrK89pdTLWspnxodoVX3ETMGaXUQ,57180051379054734,"5,751.00","287,544",76,"2,029",2.47%,61.83,,
qzjxCJfheVUxLEZto56T6v4cKT5i4PTqHWYssDE6Sfyy6xwcS,42050764752161292,"4,275.00","291,819",65,"2,095",2.13%,53.31,,
qznJ6gdt21ezvLxdYw3iAUjqHEW1FAWMT3U8PtDtnhgPG21nB,41080023609919877,"4,124.00","295,943",64,"2,159",2.09%,52.36,,
qzpJfFKE5ByDBqjcRgYBieKedPrhivsmH13VRUCrdXtsPLdFK,35140039466249259,"3,527.00","299,470",59,"2,218",1.94%,48.42,,
qzpxE7g7vRq8hGxbD7rESVGGvM5Q7CJypTwzvoEoeDEGB2azL,34850037501164836,"3,503.00","302,973",59,"2,277",1.93%,48.26,,
qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,31120015942525379,"3,122.00","306,095",56,"2,333",1.82%,45.56,,
qzkKG6BoZdXG4MYTVEmjAumrSoja2MZ6gFNm9C9e354wmtEsh,18940011794152407,"1,902.00","307,997",44,"2,377",1.42%,35.56,,
qzngmjcJaBFwWQQEHCZP5VUudKGmSS89tXX5WGHK9cGoTZYhA,15680018705659860,"1,574.00","309,571",40,"2,417",1.29%,32.35,,
qzjcfckdrUxQPjR91qEwYgEzu7rYDcfQTXy8gyddAoPnQqs4g,15380010508724121,"1,545.00","311,116",39,"2,456",1.28%,32.05,,
qzm99pG17NMSEF81Vmbt7dohv4rECY2cuNA6sJYhgQ24V6pGk,13970003002590605,"1,399.00","312,515",37,"2,493",1.22%,30.50,,
qzkiLYEGwcobt6ogFEzi3stiSGy16KUPEwTbRLxL4AWr4oZvN,13040008835864836,"1,310.00","313,825",36,"2,529",1.18%,29.51,,
qzomTLVbRsnPgvBiNvLuTHtgQyhEkeePfVjo2zhhBZUKwbUxb,10280004503738909,"1,031.00","314,856",32,"2,562",1.05%,26.18,,
qzjn7bCMVceeJu3hp6cVwKZEJUoPWa3MMCsP53NL1hkYiwSLh,10110020758728254,"1,024.00","315,880",32,"2,594",1.04%,26.09,,
qzpu6CPrW4Mr6zYaeHj35DPybCr2d5DBN5eeq5e5RJ9KPkJWG,9300002851485624,932.00,"316,812",31,"2,624",1.00%,24.89,,
qzm8CnymCRcPffm1kANqHEJh957AHh35pZUGziy1so2CF6oPy,9140011901963417,922.00,"317,734",30,"2,654",0.99%,24.76,,
qzpQzhLXucwBenDb28t8mo6eh2CtFuhJTHw41oVWUwq5TNzp8,7790003002492606,781.00,"318,515",28,"2,682",0.91%,22.79,,
qzozH5LezSn1XQ9k7Ezci6p4xK9J8GcjjeXPG8DwvFRzqKzaf,7550001501246302,756.00,"319,271",27,"2,710",0.90%,22.42,,
qzoyznFQSeNY5BGvVfUYjwB2s2QSYEDsQjxTWvNHCCq6x98Mt,6750004352731927,678.00,"319,949",26,"2,736",0.85%,21.23,,
qzmZjkjgi34cba1892dthL38R3JGn9aVEJsDwnbSSwuEs338v,6680003002688607,670.00,"320,619",26,"2,762",0.84%,21.10,,
qznJvq82Ggw3WrF9jMvc7FJoefUGgYuf6isztg9o6dZSFHd6Y,6300001393239295,631.00,"321,250",25,"2,787",0.82%,20.48,,
qzpVVgF1MDnTpK1h1QrcwKD4raFrVuC3GKApKqkr5TWQFBVaW,6080019516201939,621.00,"321,871",25,"2,812",0.81%,20.32,,
qzqCwUhocvzFG2jPFGvnAve5o5CHmsRfTaxszuxqvyhapQrCE,5690001501246303,570.00,"322,441",24,"2,836",0.78%,19.47,,
qznd1YWbgQrviV76psu5n8d24mHSuHtAc9JmJLB42gTELksvQ,5110000000000000,511.00,"322,952",23,"2,858",0.74%,18.43,,
qzmjyKbuq7vzwSAu23BhSwTzLe3DDfjWK56Q4EfnFmeuV6rw2,4220005552062266,426.00,"323,378",21,"2,879",0.67%,16.83,,
qzmzbkwmcPzNnGrTxUdWw2wqKK6AwEdwTfeEXbsLd64NApyDR,4230001501344302,424.00,"323,802",21,"2,900",0.67%,16.79,,
qzokF78eWPn8WbzmkMpWRYr9ZYxtsDKvLtxQMyDrjcqjjMqng,3820006004985212,386.00,"324,188",20,"2,919",0.64%,16.02,,
qzkM2uGCcpMBu9WsFRbTJWAv2RoJr1BNoUEzNauhFTQD57iYg,3780000000000000,378.00,"324,566",19,"2,939",0.63%,15.85,,
qznxQ9gQ7ryCusigg8ymTo6PW6SM99NF9zZVhCXEabgWCb5ze,3600000000000000,360.00,"324,926",19,"2,958",0.62%,15.47,,
qzoAS8uWhKUMbJG7mJfwBScAXhkG8SUpcBGE4nRP634w6d5cY,3290004503836908,332.00,"325,258",18,"2,976",0.59%,14.86,,
qzp84JYcwf5vhAK6nKAQ1AEqXAb71i1qm7QYBLd4xzwuaoKkN,3310001501246303,332.00,"325,590",18,"2,994",0.59%,14.86,,
qzmb7zkTNRg3koUdcAuJxaUREm7T6dQwxm6oBqX2kZjPzfLsE,2740002851583624,276.00,"325,866",17,"3,011",0.54%,13.55,,
qzmiN6K6FoYzuroPKzfr8bLTbZBpHfmnsGm3EXNEAdPD57qon,2280002851485624,230.00,"326,096",15,"3,026",0.49%,12.37,,
qzmYASZdMiitqjY4DzeaTg4pKh4GCg63VF7oUthGMEEq1BejD,2090000000000000,209.00,"326,305",14,"3,040",0.47%,11.79,,
qzmHLozQpHFMxuqv7wJFvzres4LfNSJQ6xKU3vRFAttFw7EkY,1650005703069248,169.00,"326,474",13,"3,053",0.42%,10.60,,
qzjxpUHFK2uS9VMwQduyAVMAduWQviJ2ACbeLHKc8yhQFZYTD,1660001501246303,167.00,"326,641",13,"3,066",0.42%,10.54,,
qzjYjaTQZSz41QYRyf58LtR1RSqktkwwQdvDbb5d2kDG7HNMv,1530000000000000,153.00,"326,794",12,"3,079",0.40%,0.00,,
