ID,Total Testnet Rewards,Total Mined Blocks,Cumulative Mined,Sqrt Mined,Cumulative Sqrt,% Reward Pool,Total Rewards On Mainnet,Total Reward Pool,Rewards Denominator
qzpShigRwEfoqWefYkCxCyHyyNMFV2rZtq7zgLQoN5JbwbWhE,324711129504010233,"32,585","32,585",180.51,180.51,7.27%,181.69,2500,"2,483.87"
qzn1a6f3ttc3NzkXLgKUJ1DD1GmVQ7W7C4bpjLaqDG8cVG3Jb,231481326765829563,"23,273","55,858",152.55,333.07,6.14%,153.55,,
qzot2brxs5s468XbYh9D3NoYxpmnp8xkmWzibsqBPrFmqC6FJ,212690416690012353,"21,309","77,167",145.98,479.04,5.88%,146.92,,
qzjuqy6MyJRV9fW87fb34VYXYhyEMqyaEtiWNnf3g9yoZdfmP,178771571041042176,"18,043","95,210",134.32,613.37,5.41%,135.20,,
qznFyQNkVEqWM13sEq9E4qjT75s6Rfazi9Jq1pNaPpciJvyde,172360540124597307,"17,291","112,501",131.50,744.86,5.29%,132.35,,
qznbFq2GaFvRC45d67FcU2e86SRu32ks6bqBfo4ofwjJUNR2d,145580589379412919,"14,616","127,117",120.90,865.76,4.87%,121.68,,
qzoCszTr12UqAQUPmJU4UuVf98cpkWKEbiDdpZTG3WyYr73JS,114420675427665667,"11,507","138,624",107.27,973.03,4.32%,107.97,,
qzmRRr2ZYMRJhP4BJtR5LeGt4atYGUjdq6pJ2YdwjLboTmhFn,68760567420661953,"6,929","145,553",83.24,"1,056.27",3.35%,83.78,,
qzjfz5bEM1ty3LcXoh1SfHgPWHbpx1n7SZ6ykEDd4e9wfw7XK,55990224679506792,"5,621","151,174",74.97,"1,131.24",3.02%,75.46,,
qznJ4dHSXqWw112iqxU3F8ZLV7kvTB7myut9r2DKnYfnrggEA,52300374021011116,"5,266","156,440",72.57,"1,203.81",2.92%,73.04,,
qzpffwT52TxEg2G8hmZ4NcJ1vjw788kyXX329VJzSSNuREkVU,49680152076794937,"4,984","161,424",70.60,"1,274.41",2.84%,71.06,,
qzp3cP18hQatXezUdyfgzL8JrogmJZzd8zi3HufzCXfXZe8a1,37550278683008636,"3,782","165,206",61.50,"1,335.91",2.48%,61.90,,
qzq6AsTmxoaTANy3mETvEKDHhFGjxLN9SPgi2rmcxttQfJenn,35050514708660739,"3,554","168,760",59.62,"1,395.52",2.40%,60.00,,
qzoqBe31EaycT5bp7V9nx686Fr255GvP2xa8XWjDRANFFsmeX,34870096005252781,"3,496","172,256",59.13,"1,454.65",2.38%,59.51,,
qzjgWhh2jhRFgD8fQnxp9HJXE34dx5XbPCXFUs6VnXFu8xHBj,33260088018648396,"3,337","175,593",57.77,"1,512.42",2.33%,58.14,,
qzn2fVfnQsb5TX1uQhfK1c1d6E6bR3BoHuynXADGi6KeGCkiM,27530044015146557,"2,758","178,351",52.52,"1,564.93",2.11%,52.86,,
qzocKmN2SvGyw1pmCwtnTSncfBkevxFfghqPsn9k6gzzQtVCV,25180086727147767,"2,527","180,878",50.27,"1,615.20",2.02%,50.60,,
qzn2CBXmMorWepWR6DVtpjXE1KwH21nuuoyHUExJEBptQ3k5A,23970106672503090,"2,407","183,285",49.06,"1,664.26",1.98%,49.38,,
qzpLQViE39bzEfnhuYdx5zUvgY4RJEmcdzTTrVmaovNQA9KrX,22900064003501854,"2,296","185,581",47.92,"1,712.18",1.93%,48.23,,
qzoAgZv6Qa9LK6sRA2FL6gdRdgcnkSW1MjFq4sUrmQssmrCvn,20360096005252779,"2,045","187,626",45.22,"1,757.40",1.82%,45.52,,
qzotCmuA9SRD5aqWzYnFAeSE9N8FhhhgnKQG4mu4h66kc1YYm,17710096005252781,"1,780","189,406",42.19,"1,799.59",1.70%,42.46,,
qzpgbvDxercT56sd9UyBwiGwEqH2igJniJGC8Y9J3K9kBkta9,17200064003501854,"1,726","191,132",41.55,"1,841.14",1.67%,41.81,,
qzkDSKxYbjpY51FjEkAFMbzpsm8THhnCXLubiKTdx3RfNYcGW,16200288015758330,"1,647","192,779",40.58,"1,881.72",1.63%,40.85,,
qzovQrRgRg29FYyh6aCjK1cHgjxiSQMwED6RjyLcHXnoHC45E,16270117339753399,"1,637","194,416",40.46,"1,922.18",1.63%,40.72,,
qzp9MgRYKtW3FEioPbmYb7D4D44R2AdqjQcU5kCCBGyREFfKw,16210021334500618,"1,623","196,039",40.29,"1,962.47",1.62%,40.55,,
qzjTMPKfiHxHepHUJgHpxxS61fULxTypp6ZruAMrd4jMVhugC,15930246692902418,"1,617","197,656",40.21,"2,002.68",1.62%,40.47,,
qzpp6Qze6kmfVHTECrcF3uBsdd6yKrTyf9fUe2xKUCxYYngdB,16030076016897484,"1,611","199,267",40.14,"2,042.82",1.62%,40.40,,
qznkYEdGrwLHWtyPFxSFjgzSBCSDiEwWYA4viEf59u1EcAKyc,15660021334500618,"1,568","200,835",39.60,"2,082.41",1.59%,39.86,,
qzkr2yeiTZsfbtwMaAx3wyPZtDhLo6TtZhGETynbsMQTP38VY,15210010667250309,"1,522","202,357",39.01,"2,121.43",1.57%,39.27,,
qzmbGP4bHDVZtPj5v6kYE9EJBxtZZ62edFz7bQKw7ZESxzaqp,12630042669001236,"1,267","203,624",35.59,"2,157.02",1.43%,35.83,,
qzjbKNCuikFtMYzGzQVcqWdMXtKAD5GmqWLkbSHRngVuddWrG,12420085338002469,"1,250","204,874",35.36,"2,192.38",1.42%,35.58,,
qzkwZ47Eusy8QsjnetvNXtJoPs8TtviP8Lceg2vErvLacHxQh,12070021334500616,"1,209","206,083",34.77,"2,227.15",1.40%,35.00,,
qzopaRR8MTRyQHh591rhEPZFZ39Ho6x8CZFji4YfKb6nq3C4i,9950032001750926,998,"207,081",31.59,"2,258.74",1.27%,31.80,,
qzpQiSa39BUXmtnwNQYnaRCbx9L11yxXo1vhSZBYDQqmJGDVb,9880010667250309,989,"208,070",31.45,"2,290.19",1.27%,31.65,,
qzkS7pAjzsqRW4qmq69PnGMHG89wZoEv5xPv9MxM2CfZCNZRi,9800021334500618,982,"209,052",31.34,"2,321.52",1.26%,31.54,,
qzkpRnJwhowJ5dgBeNouESyaybQzcj5fRCBKwX2UP4CqbW7zU,9740021334500618,976,"210,028",31.24,"2,352.77",1.26%,31.44,,
qzpqieMvB9uhiNJErsuyZbMozHUEbDBeCuZyQ3sVo8VRVZTvd,7730021334500618,775,"210,803",27.84,"2,380.60",1.12%,28.02,,
qzp9qKHA33rLTfE17qSRkZiknDZy6ZJvhGSBHymkcZoGBigq1,6970000000000000,697,"211,500",26.40,"2,407.00",1.06%,26.57,,
qzpb4YQqPLRL4Lg9VZWTnbcpBmyhxmqY1MmPSDjpwufkU4wJ6,6910010667250309,692,"212,192",26.31,"2,433.31",1.06%,26.48,,
qznpFToYGPVuL7a1eKfuzT1zNa5Df7tXspjT4wrv4HzGb8HKb,6440000000000000,644,"212,836",25.38,"2,458.69",1.02%,25.54,,
qzpdk2cFzawAFUd2xsRFDc4f9NPy6r5G7awWgniN1AiQxbAxA,6340000000000000,634,"213,470",25.18,"2,483.87",1.01%,25.34,,
qzjXqoS5PAiJc1etGy2J257ncAJkELKW2oLTAUdiJn9VGUgyc,5950000000000000,595,"214,065",24.39,"2,508.26",0.98%,0.00,,
qzn2WjBfpWW27vNjQLd759CeGZxLBHdypKHttFJEzB1n81DNG,5930000667250303,594,"214,659",24.37,"2,532.63",0.98%,0.00,,
qzokWJfFjAqmaq8dENsP3esBLK64v9yhL5dHJ5AJqQhjq4ruP,5610032001750926,564,"215,223",23.75,"2,556.38",0.96%,0.00,,
qzkQMv73GWFfLTus1QofEkbBHrh58e4TJihoEFL1HKvRLKsRy,4830010667250309,484,"215,707",22.00,"2,578.38",0.89%,0.00,,
qzpTSJyj6Agt7Pui1L6RyxgLn2NqNw3ZqLYAP7u8nfUrgRnVM,3160000000000000,316,"216,023",17.78,"2,596.16",0.72%,0.00,,
qzpoTFEvSgUwYpR3ePQz5K4rDwmTE46XoCDd1xefSfakZhMYd,3120000667250302,313,"216,336",17.69,"2,613.85",0.71%,0.00,,
qzkXtGpBppBbjcJHWTfBj1uHLrBzWAo7PpbhC5j5pm483dWpb,3100000000000000,310,"216,646",17.61,"2,631.46",0.71%,0.00,,
qzp5BiKYQTjeNudCT35NiJGDkB955yq7cSA4BRdivvYLB7r2m,3050010667250309,306,"216,952",17.49,"2,648.95",0.70%,0.00,,
qznStFEBvfuwmVqJwLgEcDVfWg4rqGzmUampuGtvDSUfFAG7e,2710010667250309,272,"217,224",16.49,"2,665.44",0.66%,0.00,,
